"source","target","role"
"USRE0290031","C(C1=CC=CC=C1)OC([C@@H](CC(C)C)O)=O","product"
"USRE0290033","C(C1=CN=CC=C1)(=O)O[C@@H](C(=O)O)CC(C)C","product"
"USRE0290034","C(C1=CC=CC=C1)OC(C(CC(C)C)OC(C1=CC=NC=C1)=O)=O","product"
"USRE0290035","C(C1=CC=NC=C1)(=O)OC(C(=O)O)CC(C)C","product"
"US039853761","CC1=CC(=C(C=C1)C1=CC=NC=C1)NCC1=CC=CC=C1","product"
"US039853762","C1(=CC=CC=C1)C1=NC(=CC(=C1)C1=CC=C(C=C1)N(C)C)C1=CC=CC=C1","product"
"US039856751","O.O.O.O.[O-]P([O-])(=O)OP(=O)([O-])O.[Na+].[Ca+2]","product"
"US039857091","C(C)(C)(C)C=1C=C(C=C(C1O)C(C)(C)C)C1(CC=CC=C1)[N+](=C)[O-]","product"
"US039857101","C(CCCCCCCCCCC)C(C(C=O)S)C","product"
"US039857102","C(CCC)SCCC=O","product"
"US039857103","C(CCCCCCCCCCC)SC(C=O)CC","product"
"US039857261","S(O)(O)(=O)=O","product"
"US039857261","N(=O)OS(O)(=O)=O","product"
"US039857291","C(C1=CC=CC=C1)CNC1CC(C2=CC=CC=C12)(O)C","product"
"US039857221","N[C@@H](CC(=O)[O-])C(=O)[O-].[Na+].[Na+]","product"
"US039857222","NC(CC(=O)[O-])C(=O)[O-].[K+].[K+]","product"
"US039857201","C(C(C)C)(=O)OOC(C(C)C)=O","product"
"US039857202","C(=O)(OCC)OOC(=O)OCC","product"
"US039857321","CN1C(C2N(C(C3=C1C=CC=C3)=O)CCC2)=O","product"
"US039857322","CN1C(C2N(C(C3=C1C=CC=C3)=O)CCC2)=O","product"
"US039857323","CN1C(C2N(C(C3=C1C=CC=C3)=O)CCC2)=O","product"
"US039857324","CN1C(C2N(C(C3=C1C=CC=C3)=O)CCC2)=O","product"
"US039857325","FC=1C=CC2=C(C(N3C(C(N2C)=O)CCC3)=O)C1","product"
"US039857326","CN1C(C2N(C(C3=C1C=CC=C3)=O)CCC2)=O","product"
"US039857327","CN1C(C2N(C(C3=C1C=CC=C3)=O)CCC2)=O","product"
"US0398573211","C(C1=CC=CC=C1)N1C(CCC1)C(=O)N(C=1C(C(=O)OCC)=CC=CC1)C","product"
"US0398573212","CN1C(C2N(C(C3=C1C=CC=C3)=O)CCC2)=O","product"
"US039857271","C(C)(=O)N[C@@H]1[C@H]([C@H](OC)O[C@@H]([C@@H]1OCC1=CC=CC=C1)COCC1=CC=CC=C1)OCC1=CC=CC=C1","product"
"US039857272","C(C)(=O)N[C@@H]1[C@H]([C@H](O[C@@H]([C@@H]1OCC1=CC=CC=C1)COCC1=CC=CC=C1)Cl)OCC1=CC=CC=C1","product"
"US039857273","CN(C(C)=O)[C@@H]1[C@H]([C@H](OC)O[C@@H]([C@@H]1OCC1=CC=CC=C1)COCC1=CC=CC=C1)OCC1=CC=CC=C1","product"
"US039857311","ClC(=O)C1=C(\C=C/C#N)C=CC=C1","product"
"US039857312","OC1=NC(C2=C(C=C1)C=CC=C2)=O","product"
"US039857313","ClC1=CC=C(C=C1)C(C(=O)O)CC","product"
"US039857316","ClC1=CC(=C(\C=C/C#N)C=C1)C(=O)Cl","product"
"US039857317","ClC=1C=CC(=C(\C=C/C#N)C1)C(=O)Cl","product"
"US039857392","NC1[C@@H]2N(C(=C(CS2)CSC2=NN=CN2C)C(=O)O)C1=O","product"
"US039857372","Cl.NC1[C@@H]2N(C(C(CS2)=C)C(=O)OCC2=CC=C(C=C2)[N+](=O)[O-])C1=O","product"
"US039857373","S1C(=CC=C1)CC(=O)NC1[C@@H]2N(C(=C(CS2)O)C(=O)OCC2=CC=C(C=C2)[N+](=O)[O-])C1=O","product"
"US039857374","S1C(=CC=C1)CC(=O)NC1[C@@H]2N(C(=C(CS2)OS(=O)(=O)CC)C(=O)OCC2=CC=C(C=C2)[N+](=O)[O-])C1=O","product"
"US039857375","S1C(=CC=C1)CC(=O)NC1[C@@H]2N(C(=C(CS2)OS(=O)(=O)C2=CC=C(C=C2)F)C(=O)O)C1=O","product"
"US039857302","C(C)N1C2=C(CC(C3=C1C=CC=C3)C#N)C=CC=C2","product"
"US039857306","Cl.CN(CCCC1(CC2=C(N(C3=C1C=CC=C3)CC)C=CC=C2)C#N)C","product"
"US039857461","C(C1=CC=CC=C1)(C1=CC=CC=C1)OC(=O)C1=C(CS[C@H]2N1C(C2NC(CCC#N)=S)=O)O","product"
"US039857462","[K+].C(#N)CCC(=S)NC1[C@@H]2N(C(=C(CS2)OC)C(=O)[O-])C1=O","product"
"US039857463","C(C1=CC=CC=C1)(C1=CC=CC=C1)OC(=O)C1=C(CS[C@H]2N1C(C2NC(CCC#N)=S)=O)Br","product"
"US039857464","[N+](=O)([O-])C1=CC=C(COC(=O)C2=C(CS[C@H]3N2C(C3NC(CCC#N)=S)=O)O)C=C1","product"
"US039857465","C(#N)CCC(=S)NC1[C@@H]2N(C(=C(CS2)OC)C(=O)O)C1=O","product"
"US039857466","[N+](=O)([O-])C1=CC=C(COC(=O)C2=C(CS[C@H]3N2C(C3NC(CCC#N)=S)=O)OS(=O)(=O)C)C=C1","product"
"US039857467","C(C1=CC=CC=C1)(C1=CC=CC=C1)OC(=O)C1=CCS[C@H]2N1C(C2NC(CCC#N)=S)=O","product"
"US039857501","COC=1C=CC2=C(C(CC3=C(S2)C=CC=C3)N3CCN(CC3)CCCOC(CCCCCCC)=O)C1","product"
"US039857502","COC=1C=CC2=C(C(CC3=C(S2)C=CC=C3)N3CCN(CC3)CCCOC(CCCCCCCCCCC)=O)C1","product"
"US039857503","CSC=1C=CC2=C(C(CC3=C(S2)C=CC=C3)N3CCN(CC3)CCCOC(CCCCCCC)=O)C1","product"
"US039857504","CSC=1C=CC2=C(C(CC3=C(S2)C=CC=C3)N3CCN(CC3)CCCOC(CCCCCCCCCCC)=O)C1","product"
"US039857505","CSC=1C=CC2=C(C(CC3=C(S2)C=CC=C3)N3CCN(CC3)CCCOC(CCCCCCCCCCCCCCC)=O)C1","product"
"US039857508","COC=1C=CC2=C(C(=CC3=C(S2)C=CC=C3)N3CCN(CC3)CCCOC(CCCCCCC)=O)C1","product"
"US039857532","FC=1C=C2C(=C(C=NC2=CC1)C(=O)OCC)O","product"
"US039857534","O=C1C(=CN2C(CC(C3=C2C1=CC(=C3)F)=O)C)C(=O)OCC","product"
"US039857535","OC1C2=C3C(C(C(=CN3C(C1)C)C(=O)O)=O)=C(C=C2)[N+](=O)[O-]","product"
"US039857536","C(C)(=O)NC=1C=CC=2C(CC(N3C=C(C(C1C23)=O)C(=O)O)C)=O","product"
"US039857571","O1C(=CC=C1)CN1N=CC=2C1=NC=C(C2O)C(=O)C=2C=NC=CC2","product"
"US039857572","C(C)OC1=C2C(=NC=C1C(=O)C=1SC=CC1)N(N=C2)CC=2OC=CC2","product"
"US039857573","C(C)OC1=C2C(=NC=C1C(=O)C=1SC=CC1)NN=C2","product"
"US039857511","C1=CC=CC=2C(C3=C(CCC21)C=CC=C3)CNC(CCCO)=O","product"
"US039857512","C1=CC=CC=2C(C3=C(CCC21)C=CC=C3)CNC(CCCO)=O","product"
"US039857515","C1=CC=CC=2CC3=C(C(CC21)CNC(CCCCO)=O)C=CC=C3","product"
"US039857381","SC=1C=CC=2N(N1)N=NN2","product"
"US039857541","[Cl-].FC1=CC=C(C(=O)CCCC=2C=[NH+]C=CC2C=2SC=C(N2)C)C=C1","product"
"US039857542","C1(CC1)C1=NC(=NO1)C=1CCN(CC1)CCCC(O)C1=CC=C(C=C1)F","product"
"US039857543","FC1=CC=C(C=C1)C(CCCN1CCC(=CC1)C=1SC=C(N1)C)O","product"
"US039857545","FC1=CC=C(C=C1)C(CCCN1CCC(=CC1)C=1OC=CN1)O","product"
"US039857546","FC1=CC=C(C=C1)C(CCCN1CCC(CC1)C=1SC=C(N1)C)O","product"
"US039857547","CC1=NOC(=C1)C=1CCN(CC1)CCCC(O)C1=CC=CC=C1","product"
"US039857548","CC1=NOC(=C1)C=1CCN(CC1)CCCC(=O)C1=CC=C(C=C1)F","product"
"US039857549","C1(CC1)C1=NC(=NO1)C=1CCN(CC1)CCCC(=O)C1=CC=C(C=C1)F","product"
"US0398575410","CC=1N=C(SC1)C=1CCN(CC1)CCCC(=O)C1=CC=C(C=C1)F","product"
"US039857601","CC1=NOC=2N=C(C=C(C21)O)C2=CC=CC=C2","product"
"US039857602","ClC1=C2C(=NC(=C1)C1=CC=CC=C1)ON=C2C","product"
"US039857603","C(CCC)NC=1C2=C(N=C(C1)C1=CC=CC=C1)ON=C2C","product"
"US039857604","Cl.CNC=1C2=C(N=C(C1)C1=CC=CC=C1)ON=C2C","product"
"US039857612","ClC=1C=CC(=C(C=C[N+](=O)[O-])C1)O","product"
"US039857651","C(C)(=O)C=1N=NNC1C1=CC=CC=C1","product"
"US039857652","C1(=CC=CC=C1)C=1N=NNC1C1=CC=CC=C1","product"
"US039857561","FC(C(=O)[O-])(F)F.C(C)(C)(C)N(C1=CC=CC=C1)[S+](C)C","product"
"US039857562","NC1=CC=CC=C1","product"
"US039857562","S1C(CCC1)C1=C(N)C=CC=C1","product"
"US039857563","NC1=C(SC(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1","product"
"US039857564","NC1=C(SC(C2=CC=CC=C2)C2=CC=CC=C2)C=C(C=C1)[N+](=O)[O-]","product"
"US039857661","N1C(=NC=C1)C(C1=CC=CC=C1)(C1=CC=C(C=C1)Cl)C=1NC=CN1","product"
"US039857551","[N+](=O)([O-])C=1C=CC2=C(N=C(O2)C=2OC=CC2)C1","product"
"US039857552","[N+](=O)([O-])C=1C=CC2=C(N=C(O2)C=2SC=CC2)C1","product"
"US039857553","[N+](=O)([O-])C=1C=CC2=C(N=C(O2)C=2OC(=CC2)C)C1","product"
"US039857554","CC1=CC=C(O1)C=1OC2=C(N1)C=C(C=C2)N=C=S","product"
"US039857555","NC=1C=CC2=C(N=C(O2)C=2N(C=CC2)C)C1","product"
"US039857556","NC=1C(=CC2=C(N=C(O2)C2=NC=CC=C2)C1)C","product"
"US039857557","N(=C=S)C=1C(=CC2=C(N=C(O2)C2=NC=CC=C2)C1)C","product"
"US039857801","ClCC[Si](OC(C)=O)(OC(C)=O)OC(C)=O","product"
"US039857821","NC1=C(C=CC=C1)NC(SC)=S","product"
"US039857851","NC1=NC(=NC=C1C#N)C","product"
"US039857581","CNCC1=CC=CC=C1","product"
"US039857582","Cl.CN(CC1=CC=C(C=C1)C)CCOC(=O)C=1C(C(=C(NC1C)C)C(=O)OC)C1=CC(=CC=C1)C(F)(F)F","product"
"US039857881","ClC(C(=O)OCC)CC1=CC(=C(C=C1)C1CCCCC1)Cl","product"
"US039857883","ClC(C(=O)O)CC1=CC(=C(C=C1)C1CCCCC1)Cl","product"
"US039857884","C(C)[NH2+]CC.C(CC)(=O)[O-]","product"
"US039857885","BrC(C(=O)OCC)CC1=CC(=C(C=C1)C1CCCCC1)Cl","product"
"US039857886","IC(C(=O)OCC)CC1=CC(=C(C=C1)C1CCCCC1)Cl","product"
"US039857641","C(=O)[O-].CN(C(N(C)C)=[NH2+])C","product"
"US039857711","C(=O)(OCC)C=1C(=NOC1C)C","product"
"US039857712","CC1=NOC(=C1CO)C","product"
"US039857713","[Cl-].CC1=NOC(=C1C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C","product"
"US039857714","CC1=NOC(=C1C=CC1OC=CCC1)C","product"
"US039857716","CC1=NOC(=C1CCC(CCCC(=O)O)=O)C","product"
"US039858042","C(C)OC1=C(NC(C2=C(C=CC=C2)C)=O)C=CC=C1","product"
"US039858043","C(C)(C)OC=1C=C(NC(C2=C(C=CC=C2)C)=O)C=CC1","product"
"US039858044","C(CCC)OC=1C=C(NC(C2=C(C=CC=C2)C)=O)C=CC1","product"
"US039858045","C(C#C)OC=1C=C(NC(C2=C(C=CC=C2)C)=O)C=CC1","product"
"US039858046","C(C1=CC=CC=C1)OC=1C=C(NC(C2=C(C=CC=C2)C)=O)C=CC1","product"
"US039858047","COC=1C=C(NC(C2=C(C=CC=C2)C)=O)C=CC1","product"
"US039858048","C(C)OC1=C(NC(C2=C(C=CC=C2)C)=O)C=CC=C1","product"
"US039858049","C(C)(C)OC=1C=C(NC(C2=C(C=CC=C2)C)=O)C=CC1","product"
"US039858111","ClC=1C=CC(=C(C(C2=CC=CC=C2)O)C1)CO","product"
"US039858112","CNC(=O)OC(C1=C(C=CC(=C1)Cl)COC(NC)=O)C1=CC=CC=C1","product"
"US039858113","C(C)(=O)OCC1=C(C(C2=CC=CC=C2)O)C=C(C=C1)Cl","product"
"US039858114","C(C)(=O)OCC1=C(C(C2=CC=CC=C2)Br)C=C(C=C1)Cl","product"
"US039858115","ClC1=CC(=C(CO)C=C1)C(C1=CC=CC=C1)NC(C)=O","product"
"US039858131","S(=O)(=O)(C1=CC=C(C)C=C1)OCCCC=CC#CCC","product"
"US039858132","BrCCCC=CC#CCC","product"
"US039858171","CC(C#C)(C=C(C)C)O","product"
"US039858171","O=C(C)C=C(C)C","product"
"US039857991","FC1=C(C(=CC=C1C(=O)O)F)C","product"
"US039857771","NC=1C=C(C(=O)O)C=C(C1OC1=CC=CC=C1)S(N)(=O)=O","product"
