"id_reac","smiles","description","solvent","catalyst","temperature"
"USRE0290031","[OH:1][C@H:2]([CH2:6][CH:7]([CH3:9])[CH3:8])[C:3]([OH:5])=[O:4].C(N(CC)CC)C.[CH2:17](Cl)[C:18]1[CH:23]=[CH:22][CH:21]=[CH:20][CH:19]=1>O1CCOCC1>[CH2:17]([O:4][C:3](=[O:5])[C@H:2]([OH:1])[CH2:6][CH:7]([CH3:9])[CH3:8])[C:18]1[CH:23]=[CH:22][CH:21]=[CH:20][CH:19]=1","264.0 g. of (R)-2-hydoxy-isocaproic acid were dissolved in 1.8 liters of absolute dioxan in a three-necked flask fitted with a stirrer, thermometer and reflux condenser with a calcium chloride tube. The solution was treated successively with 285 ml. of triethylamine and 236 ml. of benzyl chloride and heated at an internal temperature of 100° for 20 hours with stirring in an oil-bath. After cooling, the resulting triethylamine hydrochloride was filtered off and washed with 500 ml. of ethyl acetate. The filtrate was evaporated under reduced pressure at 50°. The residual oil was dissolved in 800 ml. of ethyl acetate and washed twice with 150 ml. portions of 3-N hydrochloric acid, twice with 100 ml. portions of 5 percent sodium chloride solution, twice with 150 ml. portions of 10 percent potassium bicarbonate solution and twice with 100 ml. portions of 5 percent sodium chloride solution. After each of these washings, the oil was rinsed with 200 ml. of ethyl acetate. The ethyl acetate solutions were dried over magnesium sulphate and evaporated under reduced pressure at 50°. The crude product which was thus-obtained was distilled at 0.3 Torr (112°-115°). There was obtained benzyl-(R)-2-hydroxy-isocaproate; [α]D25 = + 18.0° (c = 1 in methanol); nD23 = 1.498.","O1CCOCC1"," ",""
"USRE0290033","C([O:8][C:9](=[O:24])[C@H:10]([O:15][C:16](=[O:23])[C:17]1[CH:22]=[CH:21][CH:20]=[N:19][CH:18]=1)[CH2:11][CH:12]([CH3:14])[CH3:13])C1C=CC=CC=1.[H][H]>[Pd].C(O)C>[C:16]([O:15][C@H:10]([CH2:11][CH:12]([CH3:14])[CH3:13])[C:9]([OH:24])=[O:8])(=[O:23])[C:17]1[CH:22]=[CH:21][CH:20]=[N:19][CH:18]=1","A total of 17.8 g of nicotinoyl chloride hydrochloride was dissolved in 150 ml of pyridine and 50 ml of dimethylfromamide and the solution treated slowly with stirring at a temperature not over 15° with 22.2 g of benzyl-(R)-α-hydroxy-isovalerate (prepared from (R)-2-hydroxy-isovaleric acid and benzyl chloride in a manner analogous to that described, for the preparation of the corresponding compound in Example 1). After stirring for 2 hours at room temperature, the mixture was evaporated under reduced pressure. The residue was taken up in ether, washed three times with water and extracted six times with ice-cold 3-N hydrochloric acid. The hydrochloride phases were immediately allowed to run into saturated sodium bicarbonate solution and the base which was thus released was extracted three times with ether. After washing and drying, it was evaporated under reduced pressure and there were obtained 27 g of a resin which contained benzyl-(R)-2-(nicotinoyloxy)-isocaproate. The resin was then hydrogenated in 200 ml. of ethanol with 2 g. of 5 percent palladium-on-charcoal unit 2 equivalents of hydrogen had been taken up. After filtration and evaporation, the residue was taken up in 10 percent potassium bicarbonate, washed twice with ether and adjusted to pH 3 with citric acid. After extraction with ether, washing, drying and evaporation of the extract, there was obtained a crystallizing oil. Recrystallization from ethyl acetate/petroleum ether yielded 14 g of (R)-2-(nicotinoyloxy)-isocaproic acid; mp 101°-103°; [α]D25 = + 18.8° (c = 1.0 in methanol).","C(C)O","",""
"USRE0290034","[CH2:1]([O:8][C:9](=[O:16])[CH:10](Br)[CH2:11][CH:12]([CH3:14])[CH3:13])[C:2]1[CH:7]=[CH:6][CH:5]=[CH:4][CH:3]=1.[C:17]([OH:25])(=[O:24])[C:18]1[CH:23]=[CH:22][N:21]=[CH:20][CH:19]=1.CN(C)C=O>C(N(CC)CC)C>[CH2:1]([O:8][C:9](=[O:16])[CH:10]([O:25][C:17](=[O:24])[C:18]1[CH:23]=[CH:22][N:21]=[CH:20][CH:19]=1)[CH2:11][CH:12]([CH3:14])[CH3:13])[C:2]1[CH:7]=[CH:6][CH:5]=[CH:4][CH:3]=1","A total of 29.5 g of benzyl-(RS)-α-bromo-isocaproate was added dropwise at 60° with stirring over a period of 15 minutes to a solution of 12.8 g of isonicotinic acid in a mixture of 60 ml. of dimethyl-formamide and 14.8 ml of triethylamine. The reaction mixture was stirred for 5 hours at 90°. The triethylamine hydrobromide was then filtered off by suction and the filtrate evaporated under reduced pressure at 60°. The residue was dissolved in 100 ml of ethyl acetate and filtered and the filtrate washed three times with 15 ml portions of 1-N potassium bicarbonate solution and twice with 20 ml portions of water. The ethyl acetate solution was dried with magnesium sulphate and evaporated under reduced pressure at 45°. Benzyl-(RS)-2-(isonicotinoyloxy)-isocaproate was obtained as an oil.","C(C)N(CC)CC","",""
"USRE0290035","C([O:8][C:9](=[O:24])[CH:10]([O:15][C:16](=[O:23])[C:17]1[CH:22]=[CH:21][N:20]=[CH:19][CH:18]=1)[CH2:11][CH:12]([CH3:14])[CH3:13])C1C=CC=CC=1.[H][H]>[Pd]>[C:16]([O:15][CH:10]([CH2:11][CH:12]([CH3:14])[CH3:13])[C:9]([OH:24])=[O:8])(=[O:23])[C:17]1[CH:18]=[CH:19][N:20]=[CH:21][CH:22]=1","8.2 g of benzyl-(RS)-2-(isonicotinoyloxy)-isocaproate were hydrogenated in 50 ml of alcohol after the addition of 800 mg. of palladium-on-charcoal (5 percent) until the theoretical amount of hydrogen had been taken up. The catalyst was then filtered off and the filtrate evaporated under reduced pressure at 45°. The resulting oil was dissolved in excess sodium bicarbonate solution and extracted twice with 20 ml portions of ether and the bicarbonate solution adjusted to pH 2.5 with 3-N hydrochloric acid. The acidic solution was extracted twice with 70 ml portions of ethyl acetate. After being washed twice with 20 ml portions of 5 percent sodium chloride solution, the ethyl acetate solution was dried with magnesium sulphate and evaporated under reduced pressure at 45°. The resulting oil was crystallized from ether/-petroleum ether to yield (RS)-2-(isonicotinoyloxy)-isocaproic acid; mp 98°-100°.","C(C)N(CC)CC","",""
"US039853761","[N:1]1[CH:6]=[CH:5][CH:4]=[CH:3][CH:2]=1.[C:7](Cl)(=O)[C:8]1[CH:13]=[CH:12][CH:11]=[CH:10][CH:9]=1.C[N:17]([CH2:24][C:25]1[CH:30]=[CH:29][CH:28]=[CH:27][CH:26]=1)C1C=CC=CC=1>[Cu].C1(C)C=CC=CC=1>[CH3:7][C:8]1[CH:13]=[CH:12][C:11]([C:4]2[CH:5]=[CH:6][N:1]=[CH:2][CH:3]=2)=[C:10]([NH:17][CH2:24][C:25]2[CH:30]=[CH:29][CH:28]=[CH:27][CH:26]=2)[CH:9]=1","158 parts of pyridine and 155 parts of benzoyl chloride are heated with 4 parts of copper powder for an hour at 100° to 105° C. At 70° to 80° C there is then added 197 parts of methylbenzylaniline and heating is continued for another five hours at 100° to 105° C. When the reaction is over 800 parts of toluene is added at 70° to 80° C, and the precipitate is suction filtered and dissolved in 1,000 parts of 5% hydrochloric acid. The product is clarified with animal charcoal and reprecipitated in the cold with ammonia and recrystalized from a mixture of ethanol and water for further purification. 50 parts of 4-(4'-methylbenzylaminophenyl)-pyridine is obtained as practically colorless crystals which melt at 118° to 119° C.","C1(=CC=CC=C1)C","",""
"US039853762","[CH3:1][N:2]([CH3:11])[C:3]1[CH:10]=[CH:9][C:6]([CH:7]=O)=[CH:5][CH:4]=1.[C:12]([C:15]1[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=1)(=O)[CH3:13].[C:21]([O-])(=O)[CH3:22].[NH4+:25]>C(O)(=O)C>[C:3]1([C:21]2[CH:22]=[C:7]([C:6]3[CH:9]=[CH:10][C:3]([N:2]([CH3:11])[CH3:1])=[CH:4][CH:5]=3)[CH:13]=[C:12]([C:15]3[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=3)[N:25]=2)[CH:10]=[CH:9][CH:6]=[CH:5][CH:4]=1 |f:2.3|","75 parts of p-dimethylaminobenzaldehyde and 125 parts of acetophenone together with 500 parts of ammonium acetate are heated in 1,000 parts of glacial acetic acid for four hours under reflux. The precipitate deposited after standing for twelve hours at room temperature is suction filtered and recrystallized from 500 parts of ethanol. 57 parts of a pale yellow compound (2,6-diphenyl-4-(4'-dimethylaminophenyl)-pyridine) is obtained which has a melting point of 128° to 129° C.","C(C)(=O)O","",""
"US039856751","[Cl-].[Ca+2:2].[Cl-].[O-:4][P:5]([O:8][P:9]([O-:12])([O-:11])=[O:10])(=[O:7])[O-:6].[Na+:13].[Na+].[Na+].[Na+]>>[OH2:4].[OH2:4].[OH2:4].[OH2:4].[O-:6][P:5]([O:8][P:9]([OH:12])([O-:11])=[O:10])(=[O:4])[O-:7].[Na+:13].[Ca+2:2] |f:0.1.2,3.4.5.6.7,8.9.10.11.12.13.14|","A 25 weight percent aqueous solution of calcium chloride is added to a 15 weight percent aqueous solution of tetrasodium pyrophosphate in a suitable vessel until the pH reaches 7. The acicular crystals of calcium sodium pyrophosphate tetrahydrate are formed. The crystals are filtered, washed thoroughly, and dried at 60° C. The calcium sodium pyrophosphate tetrahydrate is then heated at a temperature within the range of 175° to 200° C for a period of 60 minutes until 3.2 moles of water of hydration is removed. The dehydrated solids were then ground. The structure of the material is now amorphous as determined by X-ray diffraction.","C(C)(=O)O","",""
"US039857091","[Cl-].[C:2]([C:6]1[CH:7]=[C:8]([CH:16]=[C:17]([C:20]([CH3:23])([CH3:22])[CH3:21])[C:18]=1[OH:19])[CH2:9][N+:10]1C=CC=C[CH:11]=1)([CH3:5])([CH3:4])[CH3:3].C([OH:26])C.N([C:29]1[CH:34]=[CH:33]C=[CH:31][CH:30]=1)=O.[OH-].[Na+]>O>[C:2]([C:6]1[CH:7]=[C:8]([C:9]2([N+:10]([O-:26])=[CH2:11])[CH:31]=[CH:30][CH:29]=[CH:34][CH2:33]2)[CH:16]=[C:17]([C:20]([CH3:22])([CH3:21])[CH3:23])[C:18]=1[OH:19])([CH3:4])([CH3:5])[CH3:3] |f:0.1,4.5|","To a clean dry 250 ml. round bottom 3-neck flask equipped with a magnetic stirrer, thermometer and addition funnel was added 6.69 g. (0.02 mole) of 3,5-di-t-butyl-4-hydroxy -benzylpyridinium chloride in 100 ml. of ethanol and 2.36 g. (0.022 mole) of nitrosobenzene. The clear solution was cooled to 0° to 5° C. and sodium hydroxide (2.45 g.; 0.06 mole) in 60 ml. of water was added dropwise in 40 minutes. The reaction mixture was stirred an additional 3 hours at ambient temperature and then diluted with 50 ml. water, filtered, and the collected product dried to yield 5.07 g. (79.2% yield) of 1-(3,5-di-t-butyl-4-hydroxyphenyl)-N-phenyl-nitrone, MP-137°-140° C.","O","",""
"US039857101","N1[CH2:6][CH2:5]CCC1.[CH2:7]([SH:19])[CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH3:18].[CH:20](=[O:24])/C=C/C.[CH2:25](OCC)C>>[CH2:9]([CH:8]([CH3:25])[CH:7]([SH:19])[CH:20]=[O:24])[CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:5][CH3:6]","0.02 gm Piperidine (catalyst) was dissolved in 30 ml diethyl ether, 0.5 mole lauryl mercaptan was added and the mixture was cooled to 10° C. To this mixture was added 0.5 mole of crotonaldehyde, the rate of addition being such that the reaction temperature never exceeded 10° C. After the addition was completed, the reaction mixture was maintained at a temperature of less than 10° C for a further 60 hours. The reaction mixture was kept under a blanket of nitrogen throughout the preparation. The product β-lauryl-mercaptobutyraldehyde was then obtained by distillation of the mixture under reduced pressure, the product being the fraction of boiling point 154°-155° C at 3 mm Hg pressure. The yield was 90%.","O","",""
"US039857102","[CH2:1]([SH:5])[CH2:2][CH2:3][CH3:4].[CH:6]([CH:8]=[CH2:9])=[O:7]>N1CCCCC1>[CH2:1]([S:5][CH2:9][CH2:8][CH:6]=[O:7])[CH2:2][CH2:3][CH3:4]","n-Butyl mercaptan (1 mole) was stirred with 80-100 petroleum ether (150 ml) at 10° C and piperidine catalyst (0.02 gm) was added. To this, acrolein (1 mole) was added dropwise over a period of 2 hours. The reaction mixture was allowed to warm up to room temperature whereupon stirring was continued for a further 36 hours. The mixture was then distilled under reduced pressure to yield a β-n-butylmercaptopropionaldehyde fraction (0.92 mole) having a boiling range 55°-57° C at a pressure of 1-2 mm of Hg. The reaction mixture was maintained under a blanket of nitrogen at all time throughout the preparation.","O","",""
